npb_player_id,name_ja,gurazeni_id,baseballinfo_slug,match_method,confidence
51255150,清水 大暉,2647,,gurazeni_team_2026,high
51255152,髙谷 舟,2827,,gurazeni_team_2026,high
51255155,滝澤 夏央,2132,,gurazeni_team_2026,high
51255157,富田 蓮,2320,,gurazeni_team_2026,high
51255159,武内 夏暉,2481,,gurazeni_team_2026,high
51355134,梅野 雄吾,1470,,gurazeni_team_2026,high
51355135,上沢 直之,481,,gurazeni_team_2026,high
51355139,岩貞 祐太,914,,gurazeni_team_2026,high
51355151,井上 温大,1807,,gurazeni_team_2026,high
51355152,稲川 竜汰,2861,,gurazeni_team_2026,high
51355153,伊藤 大海,2026,,gurazeni_team_2026,high
51355155,岩田 幸宏,2169,,gurazeni_team_2026,high
51355157,内田 湘大,2306,,gurazeni_team_2026,high
51355159,岩井 俊介,2527,,gurazeni_team_2026,high
51455130,中村 奨吾,1072,,gurazeni_team_2026,high
51455136,西川 愛也,1564,,gurazeni_team_2026,high
51455137,宮﨑 敏郎,426,,gurazeni_team_2026,high
51455150,龍山 暖,2650,,gurazeni_team_2026,high
51455151,長岡 秀樹,1822,,gurazeni_team_2026,high
51455152,中西 聖輝,2853,,gurazeni_team_2026,high
51455153,土田 龍空,1984,,gurazeni_team_2026,high
51455155,中川 勇斗,2138,,gurazeni_team_2026,high
51455159,寺地 隆成,2557,,gurazeni_team_2026,high
51555130,小野 郁,1086,,gurazeni_team_2026,high
51555138,甲斐野 央,1716,,gurazeni_team_2026,high
51555151,蝦名 達夫,1838,,gurazeni_team_2026,high
51555153,内 星龍,1971,,gurazeni_team_2026,high
51555155,梶原 昂希,2188,,gurazeni_team_2026,high
51555157,金村 尚真,2285,,gurazeni_team_2026,high
51655114,前田 健太,227,,gurazeni_team_2026,high
51655130,藤井 皓哉,1118,,gurazeni_team_2026,high
51655152,半田 南十,2782,,gurazeni_team_2026,high
51655153,中山 礼都,1957,,gurazeni_team_2026,high
51655155,羽田 慎之介,2117,,gurazeni_team_2026,high
51655157,長谷部 銀次,2358,,gurazeni_team_2026,high
51755115,栗山 巧,564,,gurazeni_team_2026,high
51755134,黒木 優太,1398,,gurazeni_team_2026,high
51755135,桑原 将志,422,,gurazeni_team_2026,high
51755138,宜保 翔,1714,,gurazeni_team_2026,high
51755155,北山 亘基,2149,,gurazeni_team_2026,high
51755157,児玉 亮涼,2283,,gurazeni_team_2026,high
51855132,増田 大輝,1275,,gurazeni_team_2026,high
51855134,堀 瑞輝,1336,,gurazeni_team_2026,high
51855136,松本 直樹,1550,,gurazeni_team_2026,high
51855138,宮城 滝太,1707,,gurazeni_team_2026,high
51855157,古川 雄大,2284,,gurazeni_team_2026,high
51955114,坂本 勇人,44,,gurazeni_team_2026,high
